Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.2700      -219590.285  -219599.964        9.678   218.3
2.2800      -219590.282  -219599.569        9.288   209.5
2.2900      -219590.283  -219599.702        9.419   212.5
2.3000      -219590.284  -219600.042        9.758   220.1
2.3100      -219590.282  -219599.407        9.125   205.8
2.3200      -219590.285  -219599.692        9.407   212.2
2.3300      -219590.284  -219599.372        9.088   205.0
2.3400      -219590.287  -219599.929        9.642   217.5
2.3500      -219590.285  -219599.795        9.510   214.5
2.3600      -219590.283  -219599.617        9.334   210.5
2.3700      -219590.284  -219599.805        9.521   214.8
2.3800      -219590.285  -219599.633        9.348   210.8
2.3900      -219590.287  -219599.740        9.453   213.2
2.4000      -219590.288  -219599.587        9.300   209.8
2.4100      -219590.289  -219599.443        9.154   206.5
2.4200      -219590.283  -219599.800        9.516   214.6
2.4300      -219590.280  -219599.883        9.603   216.6
2.4400      -219590.287  -219599.688        9.401   212.0
2.4500      -219590.287  -219599.715        9.428   212.7
2.4600      -219590.282  -219599.100        8.819   198.9
2.4700      -219590.285  -219599.333        9.048   204.1
2.4800      -219590.285  -219599.310        9.026   203.6
2.4900      -219590.287  -219599.151        8.864   199.9
2.5000      -219590.285  -219599.275        8.990   202.8
2.5100      -219590.281  -219599.294        9.013   203.3
2.5200      -219590.289  -219599.497        9.209   207.7
2.5300      -219590.287  -219599.332        9.045   204.0
2.5400      -219590.284  -219599.004        8.720   196.7
2.5500      -219590.288  -219599.172        8.884   200.4
2.5600      -219590.288  -219599.190        8.902   200.8
2.5700      -219590.286  -219599.319        9.033   203.7
2.5800      -219590.281  -219599.379        9.098   205.2
2.5900      -219590.283  -219599.080        8.797   198.4
2.6000      -219590.293  -219599.426        9.134   206.0
2.6100      -219590.290  -219599.195        8.905   200.8
2.6200      -219590.289  -219599.592        9.303   209.8
2.6300      -219590.283  -219599.228        8.944   201.7
2.6400      -219590.288  -219599.620        9.333   210.5
2.6500      -219590.287  -219599.118        8.831   199.2
2.6600      -219590.285  -219599.338        9.053   204.2
2.6700      -219590.289  -219599.803        9.514   214.6
2.6800      -219590.287  -219599.262        8.975   202.4
2.6900      -219590.284  -219599.664        9.379   211.5
2.7000      -219590.281  -219599.599        9.318   210.2
2.7100      -219590.284  -219599.563        9.280   209.3
2.7200      -219590.292  -219599.711        9.419   212.4
2.7300      -219590.290  -219599.381        9.091   205.1
