Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
4.6000      -201778.666  -201789.356       10.690   270.3
4.6100      -201778.662  -201789.086       10.424   263.5
4.6200      -201778.660  -201789.006       10.346   261.6
4.6300      -201778.667  -201789.432       10.764   272.1
4.6400      -201778.669  -201789.401       10.732   271.3
4.6500      -201778.659  -201789.070       10.411   263.2
4.6600      -201778.653  -201788.539        9.886   249.9
4.6700      -201778.657  -201789.094       10.437   263.9
4.6800      -201778.662  -201788.640        9.978   252.3
4.6900      -201778.663  -201788.254        9.592   242.5
4.7000      -201778.674  -201788.945       10.270   259.7
4.7100      -201778.671  -201788.882       10.212   258.2
4.7200      -201778.661  -201788.402        9.741   246.3
4.7300      -201778.674  -201789.054       10.379   262.4
4.7400      -201778.678  -201789.031       10.353   261.8
4.7500      -201778.667  -201788.680       10.013   253.2
4.7600      -201778.658  -201788.743       10.085   255.0
4.7700      -201778.659  -201789.244       10.584   267.6
4.7800      -201778.657  -201789.389       10.733   271.3
4.7900      -201778.660  -201788.703       10.043   253.9
4.8000      -201778.664  -201788.918       10.254   259.2
4.8100      -201778.668  -201788.981       10.313   260.7
4.8200      -201778.667  -201789.266       10.600   268.0
4.8300      -201778.658  -201788.909       10.251   259.2
4.8400      -201778.656  -201789.095       10.439   263.9
4.8500      -201778.655  -201789.300       10.644   269.1
4.8600      -201778.659  -201788.949       10.290   260.2
4.8700      -201778.663  -201789.361       10.698   270.5
4.8800      -201778.659  -201788.660       10.001   252.8
4.8900      -201778.659  -201788.480        9.821   248.3
4.9000      -201778.664  -201789.503       10.838   274.0
4.9100      -201778.665  -201789.380       10.715   270.9
4.9200      -201778.663  -201788.911       10.249   259.1
4.9300      -201778.666  -201788.760       10.094   255.2
4.9400      -201778.670  -201789.276       10.605   268.1
4.9500      -201778.662  -201788.803       10.141   256.4
4.9600      -201778.660  -201788.593        9.933   251.1
4.9700      -201778.664  -201788.839       10.175   257.2
4.9800      -201778.667  -201788.714       10.047   254.0
4.9900      -201778.671  -201788.830       10.160   256.9
5.0000      -201778.670  -201788.723       10.053   254.2
5.0100      -201778.665  -201788.975       10.310   260.7
5.0200      -201778.658  -201789.171       10.513   265.8
5.0300      -201778.654  -201788.668       10.014   253.2
5.0400      -201778.662  -201789.201       10.539   266.5
5.0500      -201778.667  -201789.094       10.427   263.6
5.0600      -201778.663  -201788.517        9.854   249.1
5.0700      -201778.673  -201789.457       10.784   272.7
5.0800      -201778.668  -201788.876       10.208   258.1
5.0900      -201778.668  -201789.663       10.995   278.0
5.1000      -201778.661  -201788.771       10.110   255.6
5.1100      -201778.668  -201789.695       11.027   278.8
5.1200      -201778.667  -201788.814       10.147   256.5
5.1300      -201778.669  -201789.282       10.613   268.3
5.1400      -201778.664  -201789.548       10.883   275.2
5.1500      -201778.656  -201789.344       10.688   270.2
5.1600      -201778.651  -201789.024       10.373   262.3
5.1700      -201778.648  -201788.424        9.776   247.2
5.1800      -201778.658  -201788.903       10.246   259.0
5.1900      -201778.664  -201788.835       10.171   257.1
5.2000      -201778.664  -201788.980       10.316   260.8
5.2100      -201778.662  -201789.097       10.435   263.8
5.2200      -201778.668  -201788.955       10.287   260.1
5.2300      -201778.673  -201788.681       10.008   253.0
5.2400      -201778.677  -201789.309       10.632   268.8
5.2500      -201778.670  -201789.497       10.827   273.7
5.2600      -201778.655  -201788.935       10.280   259.9
5.2700      -201778.651  -201788.604        9.952   251.6
5.2800      -201778.659  -201788.953       10.294   260.3
5.2900      -201778.664  -201788.171        9.507   240.4
5.3000      -201778.667  -201788.344        9.677   244.7
5.3100      -201778.668  -201789.195       10.527   266.1
5.3200      -201778.658  -201788.576        9.918   250.8
5.3300      -201778.657  -201788.593        9.937   251.2
5.3400      -201778.661  -201788.556        9.895   250.2
5.3500      -201778.665  -201788.613        9.947   251.5
5.3600      -201778.668  -201788.872       10.204   258.0
5.3700      -201778.659  -201788.320        9.661   244.3
