Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.3500      -270209.337  -270221.262       11.925   227.8
3.3600      -270209.346  -270221.370       12.024   229.7
3.3700      -270209.350  -270221.389       12.040   230.0
3.3800      -270209.344  -270221.017       11.672   223.0
3.3900      -270209.345  -270221.100       11.755   224.6
3.4000      -270209.353  -270221.233       11.880   226.9
3.4100      -270209.355  -270220.623       11.269   215.3
3.4200      -270209.352  -270220.216       10.864   207.5
3.4300      -270209.352  -270220.717       11.365   217.1
3.4400      -270209.352  -270220.861       11.508   219.8
3.4500      -270209.348  -270220.089       10.742   205.2
3.4600      -270209.348  -270220.272       10.924   208.7
3.4700      -270209.346  -270220.687       11.342   216.7
3.4800      -270209.339  -270220.421       11.082   211.7
3.4900      -270209.337  -270220.430       11.094   211.9
3.5000      -270209.341  -270221.157       11.816   225.7
3.5100      -270209.342  -270220.980       11.638   222.3
3.5200      -270209.344  -270221.004       11.660   222.7
3.5300      -270209.343  -270220.619       11.275   215.4
3.5400      -270209.344  -270220.608       11.264   215.2
3.5500      -270209.340  -270220.656       11.316   216.2
3.5600      -270209.345  -270220.511       11.166   213.3
3.5700      -270209.351  -270220.767       11.416   218.1
3.5800      -270209.345  -270219.855       10.510   200.8
3.5900      -270209.349  -270220.366       11.017   210.4
3.6000      -270209.350  -270220.434       11.084   211.7
3.6100      -270209.348  -270220.322       10.973   209.6
3.6200      -270209.345  -270220.605       11.260   215.1
3.6300      -270209.344  -270221.154       11.810   225.6
3.6400      -270209.346  -270221.208       11.862   226.6
3.6500      -270209.348  -270220.922       11.574   221.1
3.6600      -270209.345  -270220.634       11.289   215.6
3.6700      -270209.345  -270220.988       11.642   222.4
3.6800      -270209.342  -270220.369       11.027   210.6
3.6900      -270209.345  -270220.800       11.455   218.8
3.7000      -270209.344  -270220.546       11.203   214.0
3.7100      -270209.346  -270220.687       11.341   216.6
3.7200      -270209.352  -270221.531       12.179   232.6
3.7300      -270209.350  -270221.617       12.267   234.3
3.7400      -270209.349  -270221.718       12.368   236.3
3.7500      -270209.353  -270220.862       11.509   219.8
3.7600      -270209.358  -270221.088       11.730   224.1
3.7700      -270209.356  -270221.508       12.152   232.1
3.7800      -270209.352  -270221.358       12.005   229.3
3.7900      -270209.354  -270221.426       12.072   230.6
3.8000      -270209.347  -270220.894       11.547   220.6
3.8100      -270209.349  -270221.095       11.746   224.4
3.8200      -270209.348  -270220.731       11.383   217.4
3.8300      -270209.346  -270220.536       11.190   213.8
3.8400      -270209.341  -270220.547       11.205   214.0
3.8500      -270209.344  -270221.061       11.717   223.8
3.8600      -270209.339  -270220.524       11.185   213.7
3.8700      -270209.338  -270220.119       10.781   205.9
3.8800      -270209.345  -270221.212       11.868   226.7
3.8900      -270209.341  -270221.208       11.867   226.7
3.9000      -270209.346  -270221.860       12.514   239.0
3.9100      -270209.346  -270220.853       11.508   219.8
3.9200      -270209.349  -270220.745       11.396   217.7
3.9300      -270209.350  -270220.741       11.391   217.6
3.9400      -270209.357  -270221.350       11.993   229.1
3.9500      -270209.351  -270220.810       11.458   218.9
3.9600      -270209.348  -270220.736       11.388   217.5
3.9700      -270209.346  -270220.233       10.887   208.0
3.9800      -270209.348  -270220.531       11.182   213.6
3.9900      -270209.345  -270220.286       10.941   209.0
4.0000      -270209.343  -270220.558       11.215   214.2
4.0100      -270209.340  -270220.149       10.808   206.5
4.0200      -270209.348  -270220.793       11.445   218.6
4.0300      -270209.349  -270220.789       11.440   218.5
4.0400      -270209.346  -270220.898       11.552   220.7
4.0500      -270209.341  -270220.653       11.312   216.1
4.0600      -270209.345  -270220.917       11.572   221.1
4.0700      -270209.349  -270220.874       11.525   220.2
4.0800      -270209.352  -270221.279       11.927   227.8
4.0900      -270209.345  -270221.253       11.907   227.5
4.1000      -270209.344  -270220.558       11.214   214.2
4.1100      -270209.357  -270220.743       11.386   217.5
4.1200      -270209.362  -270221.011       11.649   222.5
4.1300      -270209.361  -270221.738       12.377   236.4
4.1400      -270209.358  -270221.447       12.089   230.9
4.1500      -270209.355  -270221.473       12.118   231.5
4.1600      -270209.346  -270221.026       11.680   223.1
4.1700      -270209.347  -270221.061       11.714   223.8
4.1800      -270209.351  -270220.945       11.594   221.5
4.1900      -270209.349  -270220.640       11.292   215.7
4.2000      -270209.349  -270221.417       12.068   230.5
4.2100      -270209.340  -270220.569       11.229   214.5
4.2200      -270209.355  -270221.297       11.942   228.1
4.2300      -270209.352  -270220.685       11.333   216.5
4.2400      -270209.341  -270220.678       11.337   216.6
4.2500      -270209.354  -270221.260       11.907   227.4
4.2600      -270209.358  -270221.009       11.651   222.6
4.2700      -270209.350  -270220.544       11.194   213.8
4.2800      -270209.346  -270220.750       11.404   217.8
4.2900      -270209.344  -270221.148       11.804   225.5
4.3000      -270209.345  -270221.301       11.956   228.4
4.3100      -270209.351  -270221.127       11.777   225.0
4.3200      -270209.355  -270221.342       11.986   229.0
4.3300      -270209.360  -270221.996       12.636   241.4
4.3400      -270209.359  -270221.282       11.923   227.8
4.3500      -270209.356  -270221.576       12.220   233.4
4.3600      -270209.352  -270221.400       12.048   230.1
4.3700      -270209.350  -270221.305       11.955   228.4
4.3800      -270209.347  -270220.854       11.507   219.8
4.3900      -270209.348  -270220.848       11.500   219.7
4.4000      -270209.349  -270220.761       11.412   218.0
4.4100      -270209.354  -270220.940       11.586   221.3
4.4200      -270209.358  -270220.675       11.318   216.2
4.4300      -270209.355  -270220.735       11.380   217.4
4.4400      -270209.352  -270220.733       11.381   217.4
4.4500      -270209.357  -270221.227       11.870   226.7
4.4600      -270209.354  -270220.795       11.441   218.6
4.4700      -270209.352  -270220.547       11.195   213.8
