Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.9100      -281841.376  -281862.928       21.552   397.9
3.9200      -281841.371  -281863.172       21.801   402.5
3.9300      -281841.351  -281862.626       21.275   392.8
3.9400      -281841.356  -281862.053       20.698   382.2
3.9500      -281841.374  -281862.862       21.489   396.8
3.9600      -281841.380  -281863.550       22.170   409.3
3.9700      -281841.362  -281862.217       20.855   385.1
3.9800      -281841.345  -281861.909       20.564   379.7
3.9900      -281841.337  -281862.107       20.771   383.5
4.0000      -281841.326  -281861.534       20.209   373.1
4.0100      -281841.338  -281862.840       21.503   397.0
4.0200      -281841.358  -281863.097       21.739   401.4
4.0300      -281841.366  -281862.567       21.201   391.4
4.0400      -281841.366  -281863.251       21.885   404.1
4.0500      -281841.364  -281863.463       22.099   408.0
4.0600      -281841.365  -281862.445       21.080   389.2
4.0700      -281841.374  -281862.477       21.103   389.6
4.0800      -281841.345  -281863.030       21.685   400.4
4.0900      -281841.337  -281862.561       21.224   391.9
4.1000      -281841.371  -281863.192       21.821   402.9
4.1100      -281841.359  -281861.578       20.219   373.3
4.1200      -281841.354  -281862.427       21.073   389.1
4.1300      -281841.368  -281862.177       20.809   384.2
4.1400      -281841.388  -281862.724       21.336   393.9
4.1500      -281841.377  -281862.208       20.830   384.6
4.1600      -281841.378  -281862.773       21.395   395.0
4.1700      -281841.382  -281862.570       21.188   391.2
4.1800      -281841.376  -281862.889       21.513   397.2
4.1900      -281841.382  -281863.356       21.974   405.7
4.2000      -281841.378  -281863.265       21.887   404.1
4.2100      -281841.384  -281863.824       22.440   414.3
4.2200      -281841.378  -281863.254       21.876   403.9
4.2300      -281841.374  -281862.619       21.245   392.3
4.2400      -281841.357  -281862.594       21.238   392.1
4.2500      -281841.350  -281862.112       20.762   383.3
4.2600      -281841.351  -281862.536       21.185   391.2
4.2700      -281841.349  -281862.371       21.022   388.1
4.2800      -281841.365  -281862.819       21.454   396.1
4.2900      -281841.396  -281863.292       21.896   404.3
4.3000      -281841.374  -281862.325       20.951   386.8
4.3100      -281841.382  -281863.098       21.715   400.9
4.3200      -281841.382  -281862.955       21.573   398.3
4.3300      -281841.378  -281863.115       21.737   401.4
4.3400      -281841.361  -281862.518       21.157   390.6
4.3500      -281841.367  -281863.112       21.744   401.5
4.3600      -281841.362  -281861.713       20.351   375.8
4.3700      -281841.356  -281862.896       21.541   397.7
4.3800      -281841.348  -281863.138       21.790   402.3
4.3900      -281841.346  -281862.875       21.530   397.5
4.4000      -281841.347  -281863.016       21.669   400.1
4.4100      -281841.362  -281863.014       21.652   399.8
4.4200      -281841.391  -281863.570       22.179   409.5
4.4300      -281841.388  -281863.041       21.653   399.8
4.4400      -281841.371  -281862.645       21.274   392.8
4.4500      -281841.356  -281863.394       22.037   406.9
4.4600      -281841.376  -281863.151       21.775   402.1
4.4700      -281841.372  -281862.791       21.418   395.5
4.4800      -281841.377  -281863.505       22.128   408.6
4.4900      -281841.361  -281862.890       21.529   397.5
4.5000      -281841.368  -281863.282       21.914   404.6
4.5100      -281841.383  -281863.468       22.085   407.8
4.5200      -281841.384  -281862.947       21.563   398.1
4.5300      -281841.364  -281862.100       20.736   382.9
4.5400      -281841.386  -281863.209       21.822   402.9
4.5500      -281841.396  -281863.319       21.923   404.8
4.5600      -281841.371  -281862.952       21.581   398.5
4.5700      -281841.373  -281862.858       21.485   396.7
4.5800      -281841.382  -281863.086       21.704   400.7
4.5900      -281841.385  -281863.056       21.671   400.1
4.6000      -281841.379  -281862.722       21.343   394.1
4.6100      -281841.402  -281862.931       21.530   397.5
4.6200      -281841.390  -281862.640       21.250   392.4
4.6300      -281841.382  -281862.299       20.917   386.2
4.6400      -281841.384  -281862.891       21.507   397.1
4.6500      -281841.384  -281862.434       21.049   388.6
4.6600      -281841.363  -281862.348       20.985   387.5
4.6700      -281841.368  -281862.372       21.004   387.8
4.6800      -281841.361  -281862.830       21.469   396.4
4.6900      -281841.357  -281862.195       20.838   384.7
4.7000      -281841.364  -281863.888       22.524   415.9
4.7100      -281841.356  -281862.587       21.232   392.0
4.7200      -281841.365  -281863.156       21.791   402.3
4.7300      -281841.372  -281862.552       21.180   391.1
4.7400      -281841.372  -281863.383       22.011   406.4
4.7500      -281841.352  -281862.537       21.185   391.2
4.7600      -281841.365  -281861.955       20.590   380.2
4.7700      -281841.379  -281861.978       20.599   380.3
4.7800      -281841.370  -281861.792       20.422   377.1
4.7900      -281841.380  -281862.184       20.804   384.1
4.8000      -281841.379  -281862.655       21.275   392.8
4.8100      -281841.344  -281861.992       20.648   381.2
4.8200      -281841.328  -281861.863       20.535   379.2
4.8300      -281841.364  -281861.822       20.458   377.7
4.8400      -281841.406  -281862.662       21.256   392.5
4.8500      -281841.398  -281861.940       20.543   379.3
4.8600      -281841.392  -281862.121       20.729   382.7
4.8700      -281841.381  -281863.674       22.292   411.6
4.8800      -281841.349  -281862.788       21.438   395.8
4.8900      -281841.360  -281863.442       22.083   407.7
4.9000      -281841.383  -281862.059       20.676   381.8
4.9100      -281841.379  -281862.437       21.058   388.8
4.9200      -281841.378  -281863.043       21.664   400.0
4.9300      -281841.344  -281861.470       20.126   371.6
4.9400      -281841.337  -281862.419       21.081   389.2
4.9500      -281841.362  -281862.707       21.345   394.1
4.9600      -281841.392  -281861.516       20.124   371.6
4.9700      -281841.424  -281863.292       21.868   403.8
4.9800      -281841.394  -281862.700       21.306   393.4
4.9900      -281841.353  -281861.986       20.633   381.0
5.0000      -281841.346  -281861.557       20.211   373.2
5.0100      -281841.382  -281863.514       22.132   408.6
5.0200      -281841.398  -281863.425       22.026   406.7
5.0300      -281841.384  -281862.319       20.935   386.5
5.0400      -281841.381  -281862.435       21.054   388.7
5.0500      -281841.388  -281862.538       21.150   390.5
5.0600      -281841.371  -281863.071       21.701   400.7
5.0700      -281841.370  -281862.952       21.582   398.5
5.0800      -281841.367  -281862.743       21.376   394.7
5.0900      -281841.371  -281862.521       21.150   390.5
5.1000      -281841.388  -281862.823       21.435   395.8
5.1100      -281841.385  -281862.483       21.098   389.6
5.1200      -281841.388  -281863.703       22.315   412.0
5.1300      -281841.361  -281862.320       20.959   387.0
5.1400      -281841.358  -281861.994       20.636   381.0
5.1500      -281841.383  -281863.937       22.553   416.4
5.1600      -281841.388  -281863.154       21.766   401.9
5.1700      -281841.385  -281863.007       21.622   399.2
5.1800      -281841.356  -281862.573       21.217   391.8
5.1900      -281841.316  -281861.602       20.286   374.6
5.2000      -281841.356  -281862.747       21.391   395.0
5.2100      -281841.388  -281861.623       20.235   373.6
5.2200      -281841.393  -281862.965       21.572   398.3
5.2300      -281841.350  -281861.796       20.446   377.5
5.2400      -281841.373  -281862.451       21.078   389.2
5.2500      -281841.379  -281862.795       21.416   395.4
5.2600      -281841.370  -281863.216       21.847   403.4
5.2700      -281841.384  -281862.834       21.450   396.0
5.2800      -281841.393  -281863.542       22.149   409.0
5.2900      -281841.368  -281863.242       21.874   403.9
5.3000      -281841.369  -281863.102       21.732   401.3
5.3100      -281841.414  -281864.050       22.636   417.9
5.3200      -281841.413  -281864.028       22.615   417.6
5.3300      -281841.382  -281863.278       21.896   404.3
5.3400      -281841.373  -281863.879       22.506   415.6
5.3500      -281841.370  -281862.937       21.567   398.2
5.3600      -281841.364  -281862.654       21.290   393.1
5.3700      -281841.358  -281861.456       20.099   371.1
5.3800      -281841.359  -281862.766       21.408   395.3
5.3900      -281841.367  -281863.498       22.131   408.6
5.4000      -281841.378  -281862.568       21.190   391.2
5.4100      -281841.366  -281862.444       21.077   389.2
5.4200      -281841.382  -281863.012       21.630   399.4
5.4300      -281841.392  -281863.171       21.780   402.1
5.4400      -281841.372  -281863.429       22.057   407.3
5.4500      -281841.349  -281863.155       21.806   402.6
5.4600      -281841.346  -281862.808       21.461   396.3
5.4700      -281841.377  -281863.470       22.093   407.9
5.4800      -281841.392  -281863.765       22.373   413.1
5.4900      -281841.370  -281862.089       20.718   382.5
5.5000      -281841.370  -281862.284       20.914   386.2
5.5100      -281841.370  -281863.080       21.710   400.8
5.5200      -281841.366  -281863.201       21.835   403.2
5.5300      -281841.363  -281862.247       20.884   385.6
5.5400      -281841.391  -281863.308       21.916   404.7
