Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.9500      -166684.221  -166692.909        8.688   281.2
0.9600      -166684.221  -166693.089        8.868   287.0
0.9700      -166684.218  -166693.669        9.451   305.9
0.9800      -166684.226  -166693.569        9.343   302.4
0.9900      -166684.217  -166693.385        9.168   296.8
1.0000      -166684.214  -166693.439        9.225   298.6
1.0100      -166684.218  -166693.340        9.122   295.3
1.0200      -166684.228  -166693.483        9.255   299.6
1.0300      -166684.233  -166693.967        9.735   315.1
1.0400      -166684.221  -166693.944        9.724   314.7
1.0500      -166684.221  -166693.885        9.664   312.8
1.0600      -166684.232  -166693.787        9.556   309.3
1.0700      -166684.231  -166693.333        9.102   294.6
1.0800      -166684.224  -166693.042        8.818   285.4
1.0900      -166684.218  -166692.636        8.418   272.5
1.1000      -166684.221  -166692.560        8.339   269.9
1.1100      -166684.220  -166692.809        8.590   278.0
1.1200      -166684.226  -166692.662        8.436   273.1
1.1300      -166684.224  -166692.553        8.330   269.6
1.1400      -166684.216  -166692.564        8.348   270.2
1.1500      -166684.215  -166692.136        7.921   256.4
1.1600      -166684.222  -166692.290        8.068   261.2
1.1700      -166684.216  -166692.138        7.922   256.4
1.1800      -166684.207  -166691.698        7.491   242.5
1.1900      -166684.223  -166692.460        8.237   266.6
1.2000      -166684.222  -166693.011        8.789   284.5
1.2100      -166684.218  -166692.293        8.075   261.4
1.2200      -166684.220  -166691.868        7.648   247.6
1.2300      -166684.217  -166691.778        7.561   244.8
1.2400      -166684.209  -166692.265        8.056   260.8
1.2500      -166684.214  -166692.545        8.331   269.7
1.2600      -166684.219  -166692.482        8.263   267.5
1.2700      -166684.215  -166692.845        8.630   279.4
1.2800      -166684.221  -166693.078        8.857   286.7
1.2900      -166684.229  -166692.458        8.229   266.4
1.3000      -166684.225  -166692.633        8.408   272.2
1.3100      -166684.218  -166692.585        8.366   270.8
1.3200      -166684.227  -166692.492        8.265   267.5
1.3300      -166684.227  -166692.728        8.502   275.2
1.3400      -166684.221  -166693.203        8.982   290.7
1.3500      -166684.220  -166693.093        8.873   287.2
1.3600      -166684.227  -166693.272        9.045   292.8
1.3700      -166684.223  -166692.889        8.666   280.5
1.3800      -166684.214  -166693.066        8.852   286.5
1.3900      -166684.214  -166692.410        8.196   265.3
1.4000      -166684.228  -166692.278        8.050   260.6
1.4100      -166684.220  -166692.094        7.874   254.9
1.4200      -166684.225  -166693.082        8.857   286.7
1.4300      -166684.223  -166692.522        8.299   268.6
1.4400      -166684.222  -166692.447        8.225   266.2
1.4500      -166684.220  -166692.493        8.273   267.8
1.4600      -166684.220  -166692.458        8.238   266.7
1.4700      -166684.212  -166692.467        8.254   267.2
1.4800      -166684.210  -166692.918        8.708   281.9
1.4900      -166684.217  -166693.133        8.916   288.6
1.5000      -166684.220  -166692.524        8.304   268.8
1.5100      -166684.222  -166692.939        8.717   282.2
1.5200      -166684.223  -166693.182        8.959   290.0
1.5300      -166684.223  -166692.921        8.698   281.6
